127.0.0.1 - - [26/Jun/2021:16:37:23 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:37:24 +0800] "GET /webgl_engine_2020/chinese/draw.jsp HTTP/1.1" 200 2420
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:37:25 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:37:25 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:37:34 +0800] "GET /webgl_engine_2020/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:37:39 +0800] "GET /webgl_engine_2020/chinese/draw.jsp?change_part=display_part:start_driver_part HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:37:39 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:22 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=test&link_name=&change_part=display_part:start_driver_part&change_component=&part_type=&sub_directory=&coordinate=xyz&max_loading_number=5 HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:22 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=test&link_name=&change_part=&change_component=&part_type=&sub_directory=&coordinate=xyz&max_loading_number=5 HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:22 +0800] "GET /webgl_engine_2020/interface.jsp?channel=buffer&file=scene_directory%252Ftest_directory%252Ftest%252Fdisplay_part%252Fstart_driver_part%252Fproxy_initialization.gzip_text&length=36597&date=1624696702127&original=http%253A%252F%252Flocalhost%253A8080%252Fwebgl_engine_2020%252Finterface.jsp HTTP/1.1" 200 36641
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:23 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&aspect=2.1611226611226613&component=-1&body=0;-1&face=0;-1&loop=0;-1&edge=0;-1&vertex=0;-1&point=-1&depth=-1.00000&value=-1.00000&loaded_length=0_0_-1_-1&requesting_number=0_1&data_time=1&render_time=1&read_time=0&render_interval=1624696702678&length=401 HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:23 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=1_1&data_time=1&render_time=0&read_time=0&render_interval=156&length=237 HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:23 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&loaded_length=1_116712_12_0&requesting_number=2_2&data_time=0&render_time=3&read_time=0&render_interval=155&length=265 HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=26&event_driver_id=0&operation=audio&fresh=0.44505857443519004 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&loaded_length=3_4337852_12_0&requesting_number=0_3&data_time=0&render_time=19&read_time=0&render_interval=185&length=267 HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&body=-1;-1&face=-1;-1&loop=-1;-1&edge=-1;-1&vertex=-1;-1&requesting_number=7_4&data_time=0&render_time=68&read_time=5&render_interval=229&length=295 HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.3270864392848507&operation=file&file=no_box.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.29143510834596853&operation=file&file=front.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.7383627463819511&operation=file&file=back.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.9624394187635474&operation=file&file=left.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.149602344804024&operation=file&file=right.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=7_5&data_time=0&render_time=9&read_time=2&render_interval=172&length=237 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.11684772215701522&operation=file&file=down.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.5274485755518186&operation=file&file=top.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=4_5&data_time=0&render_time=8&read_time=9&render_interval=171&length=237 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?channel=buffer&file=part_directory%252Frender_25%252Fpart_0%252Fmesh.head.gzip_text&length=9789&date=1624696649718&original=http%253A%252F%252Flocalhost%253A8080%252Fwebgl_engine_2020%252Finterface.jsp HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&loaded_length=5_4348157_12_0&requesting_number=0_5&data_time=0&render_time=12&read_time=4&render_interval=171&length=267 HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=8&read_time=3&render_interval=17&length=236 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=5&read_time=4&render_interval=17&length=236 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:24 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=5&read_time=4&render_interval=17&length=236 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=3&read_time=5&render_interval=17&length=236 HTTP/1.1" 200 116
