127.0.0.1 - - [27/Sep/2021:23:35:33 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:36 +0800] "GET /webgl_engine_2020/chinese/draw.jsp HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:36 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:36 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:36 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:36 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:36 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:37 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:37 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:38 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:39 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:39 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:40 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:40 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:41 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:41 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:42 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:42 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:43 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:43 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:44 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:44 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:45 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:45 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:46 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:46 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:47 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:47 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:48 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:48 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:49 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:49 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:50 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:50 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:51 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:51 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:52 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:52 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:53 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:53 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:55 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:55 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:56 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:57 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:57 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:58 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:58 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:59 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:35:59 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:00 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:00 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:01 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:01 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:02 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:03 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:06 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:06 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=test&link_name=&change_part=&change_component=&part_type=&sub_directory=&coordinate=xyz&max_loading_number=10&process_bar=0 HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:06 +0800] "GET /webgl_engine_2020/interface.jsp?channel=buffer&file=scene_directory%252Ftest_directory%252Ftest%252Fproxy_initialization.gzip_text&length=36390&date=1632756966459&original=http%253A%252F%252Flocalhost%253A8080%252Fwebgl_engine_2020%252Finterface.jsp HTTP/1.1" 200 36434
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:06 +0800] "GET /webgl_engine_2020/interface.jsp?channel=454838084237400&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=update_render&aspect=2.161662817551963&component=-1&body=0;-1&face=0;-1&loop=0;-1&edge=0;-1&vertex=0;-1&point=-1&depth=-1.00000&value=-1.00000&loaded_length=0_0_-1_-1&requesting_number=0_1&data_time=1&render_time=1&read_time=0&render_interval=1632756966862&length=428 HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:07 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:17 +0800] "GET /webgl_engine_2020/interface.jsp?channel=454838084237400&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=update_render&requesting_number=1_1&data_time=2&render_time=2&read_time=0&render_interval=10530&length=267 HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:17 +0800] "GET /webgl_engine_2020/interface.jsp?channel=454838084237400&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=update_render&loaded_length=1_116729_12_0&requesting_number=2_2&data_time=0&render_time=3&read_time=0&render_interval=134&length=293 HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:17 +0800] "GET /webgl_engine_2020/interface.jsp?channel=454838084237400&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=event&event_component_id=26&event_driver_id=0&operation=audio&fresh=0.726591069539632 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:17 +0800] "GET /webgl_engine_2020/interface.jsp?channel=454838084237400&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.5010133160772174&operation=file&file=no_box.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:17 +0800] "GET /webgl_engine_2020/interface.jsp?channel=454838084237400&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.17333867614118126&operation=file&file=front.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:17 +0800] "GET /webgl_engine_2020/interface.jsp?channel=454838084237400&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.049023703004448915&operation=file&file=back.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:17 +0800] "GET /webgl_engine_2020/interface.jsp?channel=454838084237400&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.6430572887407655&operation=file&file=left.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:17 +0800] "GET /webgl_engine_2020/interface.jsp?channel=454838084237400&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.24216635056199642&operation=file&file=right.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:17 +0800] "GET /webgl_engine_2020/interface.jsp?channel=454838084237400&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.11413139306752074&operation=file&file=top.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:23:36:17 +0800] "GET /webgl_engine_2020/interface.jsp?channel=454838084237400&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=update_render&body=-1;-1&face=-1;-1&loop=-1;-1&edge=-1;-1&vertex=-1;-1&loaded_length=3_4320229_12_0&requesting_number=7_3&data_time=0&render_time=12&read_time=62&render_interval=26&length=352 HTTP/1.1" 200 227
