127.0.0.1 - - [15/Oct/2021:19:02:07 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:08 +0800] "GET /webgl_engine_2020/chinese/draw.jsp HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:09 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:09 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:09 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:09 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:10 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:11 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:11 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=test&link_name=&change_part=&change_component=&part_type=&sub_directory=&coordinate=xyz&max_loading_number=10&process_bar=0 HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:11 +0800] "GET /webgl_engine_2020/interface.jsp?channel=buffer&file=scene_directory%252Ftest_directory%252Ftest%252Finitialization.gzip_text&length=36615&date=1634295731732&original=http%253A%252F%252Flocalhost%253A8080%252Fwebgl_engine_2020%252Finterface.jsp HTTP/1.1" 200 36659
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:12 +0800] "GET /webgl_engine_2020/interface.jsp?channel=36941337602300&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=update_render&aspect=2.161662817551963&component=-1&body=-1&face=-1&loop=-1&edge=-1&vertex=-1&point=-1&depth=-1.00000&value=-1.00000&loaded_length=0_0_-1_-1&requesting_number=0_1&data_time=1&render_time=1&read_time=0&render_interval=1634295732192&length=417 HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:12 +0800] "GET /webgl_engine_2020/interface.jsp?channel=36941337602300&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=update_render&loaded_length=1_117328_12_0&requesting_number=2_1&data_time=1&render_time=5&read_time=0&render_interval=32&length=291 HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:12 +0800] "GET /webgl_engine_2020/interface.jsp?channel=36941337602300&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=update_render&loaded_length=3_4320828_12_0&requesting_number=0_2&data_time=0&render_time=1&read_time=0&render_interval=17&length=292 HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [15/Oct/2021:19:02:12 +0800] "GET /webgl_engine_2020/interface.jsp?channel=36941337602300&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=event&event_component_id=34&event_driver_id=0&operation=audio&fresh=0.10691775914760804 HTTP/1.1" 200 5
