127.0.0.1 - - [05/Jul/2022:09:58:13 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:14 +0800] "GET /webgl_engine_2020/draw.jsp HTTP/1.1" 200 4186
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:14 +0800] "GET /webgl_engine_2020/draw.jsp HTTP/1.1" 200 4186
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:14 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:14 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:14 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:14 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:14 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:14 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:15 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:16 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:16 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:17 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:18 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:20 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:22 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:24 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:27 +0800] "GET /webgl_engine_2020/upload.jsp?format=External HTTP/1.1" 200 17095
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:28 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:28 +0800] "GET /webgl_engine_2020/draw.jsp?scene_name=cad&coordinate=location.xyz.txt&sub_directory=A159-SR-302A HTTP/1.1" 200 4214
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:28 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:28 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:28 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=2 HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:29 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=2 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:30 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:30 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=2 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:31 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=2 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:32 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:32 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=2 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:34 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=2 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:34 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:35 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=2 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jul/2022:09:58:36 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=2 HTTP/1.1" 200 160
